id,name,source,category,size
1,Dataset 1,Web Scraping,Finance,93114
2,Dataset 2,Sensor,Security,14282
3,Dataset 3,Manual Upload,Security,92349
4,Dataset 4,Web Scraping,Health,67152
5,Dataset 5,Manual Upload,Finance,80959
6,Dataset 6,API,Sensor,85912
7,Dataset 7,API,Health,98922
8,Dataset 8,Manual Upload,Retail,34185
9,Dataset 9,Web Scraping,Finance,40503
10,Dataset 10,API,Finance,21992
11,Dataset 11,API,Health,28217
12,Dataset 12,Manual Upload,Health,95990
13,Dataset 13,Manual Upload,Security,93106
14,Dataset 14,Sensor,Finance,71531
15,Dataset 15,API,Security,3793
16,Dataset 16,Sensor,Health,95777
17,Dataset 17,Manual Upload,Finance,78282
18,Dataset 18,API,Security,60278
19,Dataset 19,API,Sensor,4087
20,Dataset 20,API,Health,72478
21,Dataset 21,Manual Upload,Sensor,58516
22,Dataset 22,Sensor,Finance,37376
23,Dataset 23,Sensor,Security,99962
24,Dataset 24,Sensor,Retail,95584
25,Dataset 25,Web Scraping,Retail,2292
26,Dataset 26,Manual Upload,Security,60689
27,Dataset 27,Sensor,Sensor,10880
28,Dataset 28,Web Scraping,Sensor,86601
29,Dataset 29,Sensor,Sensor,7507
30,Dataset 30,Manual Upload,Retail,82415
31,Dataset 31,Web Scraping,Finance,30089
32,Dataset 32,API,Finance,9606
33,Dataset 33,Web Scraping,Finance,76986
34,Dataset 34,Web Scraping,Finance,7504
35,Dataset 35,Web Scraping,Retail,61352
36,Dataset 36,Sensor,Sensor,53619
37,Dataset 37,Sensor,Retail,31092
38,Dataset 38,Sensor,Finance,5876
39,Dataset 39,Manual Upload,Security,47765
40,Dataset 40,Web Scraping,Retail,63405
41,Dataset 41,Web Scraping,Sensor,51715
42,Dataset 42,API,Sensor,55615
43,Dataset 43,API,Retail,51688
44,Dataset 44,Web Scraping,Sensor,45200
45,Dataset 45,API,Sensor,12235
46,Dataset 46,API,Sensor,66321
47,Dataset 47,Sensor,Security,65517
48,Dataset 48,Sensor,Retail,60950
49,Dataset 49,API,Security,18724
50,Dataset 50,Web Scraping,Finance,40822
51,Dataset 51,API,Finance,70484
52,Dataset 52,API,Finance,99014
53,Dataset 53,Web Scraping,Finance,45985
54,Dataset 54,API,Sensor,91270
55,Dataset 55,Sensor,Retail,5877
56,Dataset 56,API,Finance,59061
57,Dataset 57,Web Scraping,Finance,81792
58,Dataset 58,Sensor,Retail,51578
59,Dataset 59,API,Security,37793
60,Dataset 60,Web Scraping,Finance,10463
61,Dataset 61,Sensor,Retail,11730
62,Dataset 62,Manual Upload,Health,1797
63,Dataset 63,Web Scraping,Security,54974
64,Dataset 64,Web Scraping,Retail,16365
65,Dataset 65,API,Finance,54722
66,Dataset 66,Manual Upload,Security,98819
67,Dataset 67,Manual Upload,Retail,55111
68,Dataset 68,Sensor,Retail,86321
69,Dataset 69,Manual Upload,Security,49380
70,Dataset 70,API,Sensor,63073
71,Dataset 71,Sensor,Security,14602
72,Dataset 72,Manual Upload,Sensor,5523
73,Dataset 73,Web Scraping,Finance,152
74,Dataset 74,Web Scraping,Sensor,27913
75,Dataset 75,Sensor,Sensor,98505
76,Dataset 76,Web Scraping,Security,28394
77,Dataset 77,Sensor,Security,36868
78,Dataset 78,Manual Upload,Security,78709
79,Dataset 79,Sensor,Finance,27999
80,Dataset 80,Manual Upload,Retail,94325
81,Dataset 81,Manual Upload,Health,53212
82,Dataset 82,API,Retail,20486
83,Dataset 83,API,Sensor,99824
84,Dataset 84,Manual Upload,Finance,89227
85,Dataset 85,Sensor,Sensor,2405
86,Dataset 86,Manual Upload,Sensor,75742
87,Dataset 87,API,Retail,31998
88,Dataset 88,API,Finance,81116
89,Dataset 89,Web Scraping,Security,25980
90,Dataset 90,Manual Upload,Health,36901
91,Dataset 91,Manual Upload,Health,69047
92,Dataset 92,Sensor,Health,21808
93,Dataset 93,Sensor,Security,11444
94,Dataset 94,Sensor,Security,71005
95,Dataset 95,Web Scraping,Finance,2977
96,Dataset 96,API,Finance,19828
97,Dataset 97,API,Security,13572
98,Dataset 98,Sensor,Retail,97508
99,Dataset 99,Manual Upload,Security,11439
100,Dataset 100,API,Retail,53182
101,Dataset 101,Sensor,Health,89963
102,Dataset 102,API,Finance,82991
103,Dataset 103,API,Security,54823
104,Dataset 104,Web Scraping,Security,25375
105,Dataset 105,Manual Upload,Sensor,27167
106,Dataset 106,Manual Upload,Retail,62710
107,Dataset 107,API,Finance,5979
108,Dataset 108,Manual Upload,Finance,41906
109,Dataset 109,API,Health,24148
110,Dataset 110,Web Scraping,Sensor,38612
111,Dataset 111,API,Retail,36643
112,Dataset 112,Manual Upload,Health,70223
113,Dataset 113,Manual Upload,Retail,45591
114,Dataset 114,API,Security,96906
115,Dataset 115,Web Scraping,Health,23710
116,Dataset 116,Web Scraping,Sensor,98034
117,Dataset 117,Manual Upload,Sensor,37290
118,Dataset 118,Manual Upload,Sensor,97704
119,Dataset 119,API,Finance,37492
120,Dataset 120,Sensor,Security,66724
121,Dataset 121,Web Scraping,Finance,2076
122,Dataset 122,Manual Upload,Sensor,24303
123,Dataset 123,Web Scraping,Health,97933
124,Dataset 124,Web Scraping,Retail,1909
125,Dataset 125,Manual Upload,Security,68269
126,Dataset 126,Manual Upload,Retail,13288
127,Dataset 127,Sensor,Sensor,70928
128,Dataset 128,Web Scraping,Security,84246
129,Dataset 129,Sensor,Finance,575
130,Dataset 130,API,Finance,78629
131,Dataset 131,Sensor,Sensor,62029
132,Dataset 132,Sensor,Sensor,59402
133,Dataset 133,Sensor,Finance,31753
134,Dataset 134,Sensor,Security,64217
135,Dataset 135,Sensor,Security,45399
136,Dataset 136,API,Finance,49483
137,Dataset 137,Sensor,Sensor,28720
138,Dataset 138,Sensor,Finance,59518
139,Dataset 139,Manual Upload,Retail,76412
